Lanzaguisantes;Lanzaguisantes;100;1;10;3;1
Girasol;Girasol;100;1;10;3;1
Nuez;Nuez;100;1;10;3;1
Patatapum;Patatapum;100;1;10;3;1
Hielaguisantes;Hielaguisantes;100;1;10;3;1
PlantaCarronivora;Planta Carronivora;100;1;10;3;2
Repetidora;Repetidora;100;1;10;3;2
SetaDesesporadora;Seta Desesporadora;100;1;10;3;2
Humoseta;Humoseta;100;1;10;3;1
Apisonaflor;Apisonaflor;100;1;10;3;4
Tripitidora;Tripitidora;100;1;10;3;4
Jalapeno;Jalapeno;100;1;10;3;1
NuezCascaraRabias;Nuez Cascara-Rabias;100;1;10;3;1
Cactus;Cactus;100;1;10;3;1
Trebolador;Trebolador;100;1;10;3;1
Coltapulta;Coltapulta;100;1;10;3;1
Melonpulta;Melonpulta;100;1;10;3;1
Guisantralladora;Guisantralladora;100;1;10;3;1
MelonpultaCongelada;Melonpulta Congelada;100;1;10;3;1
